
Antigua			{Antigua}
Shore64 {Costa de Reef}
Shore65 {Costa de Rocky}
Shore66 {Playa Shark}
Shore66_1 {Costa maldita}
Shore67 {Arrecife del Esqueleto}
Shore67_1 {Arrecife del Esqueleto - Oeste}
Shore67_2 {Arrecife del Esqueleto - Este}
Shore68 {Costa Ingallado}
Shore69 {Playa Santa María del Mar}
Shore70 {Costa del Esclavo}
Shore71 {Cabo Scorn}
Shore72 {Cabo Oriente}
Shore73 {Cabo Machete}
Shore74 {Playa Cangrejo}
Shore75 {Costa del Gobernador}
Shore76 {Cabo del Hombre ahogado}
Shore77 {Costa Vieques}
Shore78 {Bahía de bucaneros}
Shore79 {Cabo Rojo}

Shore_ship1	{Costa de Sabo-Matila}
Shore_ship2	{Bahía de Peril}
Shore_ship3	{Cabo de las Esperanzas Ilusorias}
Shore_ship4	{Costa maldita}

Shore_mask	{Gruta de los guardianes}

Mayak1	{Faro de Trinidad y Tobago}
Mayak2	{Faro de Barbados}
Mayak3	{Faro de Port Royal}
Mayak4	{Faro de Guadalupe}
Mayak5	{Faro de Saint Christopher}
Mayak6	{Faro de Tortuga}
Mayak7	{Faro de Port-au-Prince}
Mayak8	{Faro de Santo Domingo}
Mayak9	{Faro de Santiago}
Mayak10	{Faro de La Habana}
Mayak11	{Faro de Cartagena}

Bridgetown		{Bridgetown}
Bridgetown Town	{Bridgetown}
Bridgetown Fort	{Fuerte de Bridgetown}
Bridgetown Port	{Puerto de Bridgetown}

SanJuan			{San Juan}
SanJuan Town	{San Juan}
SanJuan Fort	{Fuerte de San Juan}
SanJuan Port	{Puerto de San Juan}

Santiago		{Santiago}
Santiago Town	{Santiago}
Santiago Fort	{Fuerte de Santiago}
Santiago Port	{Puerto de Santiago}

PuertoPrincipe	{Puerto Príncipe}
PuertoPrincipe Town	{Puerto Príncipe}
PuertoPrincipe Fort	{Fuerte de Puerto Príncipe}
PuertoPrincipe Port	{Puerto de Puerto Príncipe}

SentJons		{St. John's}
SentJons Town	{St. John's}
SentJons Fort	{Fuerte de St. John's}
SentJons Port	{Puerto de St. John's}

PortRoyal		{Port Royal}
PortRoyal Town	{Port Royal}
PortRoyal Fort	{Fuerte de Port Royal}
PortRoyal Port	{Puerto de Port Royal}

FortOrange		{Maroon Town}
FortOrange Town	{Maroon Town}

Villemstad		{Willemstad}
Villemstad Town	{Willemstad}
Villemstad Fort	{Fuerte de Willemstad}
Villemstad Port	{Puerto de Willemstad}

BasTer			{Basse-Terre}
BasTer Town		{Basse-Terre}
BasTer Fort		{Fuerte de Basse-Terre}
BasTer Port		{Puerto de Basse-Terre}

LaVega			{La Vega}
LaVega Town		{La Vega}
LaVega Fort		{Fuerte de La Vega}
LaVega Port		{Puerto de La Vega}

SantoDomingo	{Santo Domingo}
SantoDomingo Town	{Santo Domingo}
SantoDomingo Fort	{Fuerte de Santo Domingo}
SantoDomingo Port	{Puerto de Santo Domingo}

PortPax			{Port-au-Prince}
PortPax Town	{Port-au-Prince}
PortPax Fort	{Fuerte de Port-au-Prince}
PortPax Port	{Puerto de Port-au-Prince}

Pirates			{Sharptown}
Pirates Town	{Sharptown}
Pirates Port	{Puerto de Sharptown}

FortFrance		{Saint-Pierre}
FortFrance Town	{Saint-Pierre}
FortFrance Fort	{Fuerte de Saint-Pierre}
FortFrance Port	{Puerto de Saint-Pierre}

LeFransua		{Le François}
LeFransua Town	{Le François}
LeFransua Port	{Puerto de Le François}

Havana			{La Habana}
Havana Town		{La Habana}
Havana Fort		{Fuerte de La Habana}
Havana Port		{Puerto de La Habana}

Charles			{Capsterville}
Charles Town	{Capsterville}
Charles Fort	{Fuerte de Capsterville}
Charles Port	{Puerto de Capsterville}

PortoBello Town	{Portobello}
PortoBello Fort	{Fuerte de Portobello}
PortoBello Port	{Puerto de Portobello}

PortSpein		{San José}
PortSpein Town	{San José}
PortSpein Fort	{Fuerte de San José}
PortSpein Port	{Puerto de San José}

Tortuga			{Tortuga}
Tortuga Town	{Tortuga}
Tortuga Fort	{Fuerte de Tortuga}
Tortuga Port	{Puerto de Tortuga}

Marigo			{Philipsburg}
Marigo Town		{Philipsburg}
Marigo Fort		{Fuerte de Philipsburg}
Marigo Port		{Puerto de Philipsburg}

Panama Town		{Panamá}
Panama Fort		{Fuerte de Panamá}
Panama Port		{Puerto de Panamá}

Cartahena Town	{Cartagena}
Cartahena Fort	{Fuerte de Cartagena}
Cartahena Port	{Puerto de Cartagena}

Maracaibo Town	{Maracaibo}
Maracaibo Fort	{Fuerte de Maracaibo}
Maracaibo Port	{Puerto de Maracaibo}

Caracas Town	{Caracas}
Caracas Fort	{Fuerte de Caracas}
Caracas Port	{Puerto de Caracas}

Cumana Town		{Cumaná}
Cumana Fort		{Fuerte de Cumaná}
Cumana Port		{Puerto de Cumaná}

SantaCatalina Town	{Blueweld}
SantaCatalina Fort	{Fuerte de Blueweld}
SantaCatalina Port	{Puerto de Blueweld}

Beliz Town		{Belice}
Beliz Fort		{Fuerte de Belice}
Beliz Port		{Puerto de Belice}

SanAndres		{San Andrés}
SanAndres Town	{San Andrés}
SanAndres Fort	{Fuerte de San Andrés}
SanAndres Port	{Puerto de  San Andrés}

IslaMona {Isla Mona}
IslaMona Town {Isla Mona}

Minentown		{Mina Los-Teques}
Minentown Town	{Mina Los-Teques}

Duel Field		{Campo de duelo}
Boarding deck	{Cubierta de embarque} 
Orlop deck		{Cubierta inferior} 
Fort inside		{Fuerte}
Sea				{Mar}
Jungle			{Jungla}
Street			{Calles}
ExitTown		{Salida a la Jungla}
Graveyard		{Cementerio}
Port			{Puerto}
Tavern			{Taberna}
Tavern upstairs {Habitación de la taberna}
Store			{Tienda}
Shipyard		{Astillero}
PackHouse		{Almacén}
Townhall		{Mansión del gobernador}
TownhallRoom	{Sala de mansión}
Residence		{Residencia}
PortOffice		{Autoridad portuaria}
Church			{Iglesia}
Incquisitio		{Inquisición}
Maltese Order	{Orden de Malta}
Incas Temple	{Templo Maya}
Usurer House	{Banco}
House			{Casa}
ammo			{Armería}
shack			{Choza}
Room			{Sala}
Cabinet			{Despacho}
Bedroom			{Habitación}
Chapel			{Capilla}
Crypt			{Cripta}
Exit			{Salida}
The cavern		{Cueva}
?????			{?????}
Passage			{Puente}
Beach			{Playa}
Cave			{Cueva}
Cave			{Cueva}
Cave entrance	{Entrada a la cueva}
FloodedCave		{Cueva inundada}
Grot			{Gruta}
Prison			{Prisión}
Lighthouse Inside	{Dentro del faro}
Mines			{Minas}
Dungeon			{Mazmorra}
Gate			{Puerta de la ciudad}
Brothel			{Burdel}
Brothel Room	{Sala privada}
Village			{Aldea}
Plantation		{Plantación}
UnderWater		{Bajo el agua}
Grotto			{Gruta}
Dunes house		{Casa de la Duna}
Torture room	{Sala de tortura}
Wine Cellar 	{Bodega de Vinos}
cabine			{Cabina del capitán}
My_Campus		{Sala de estar}
My_Deck_Medium	{Cubierta de cañones}
My_Deck			{Bodega}
My_Ship			{Barco}
Drugstore		{Botica}
HWIC_flat		{Compañía Holandesa de las Indias Occidentales}
Comendant's House	{Casa del comandante de La Habana}
Tibo House		{Casa de Henri Thibaut}
Gaspard_Gold House	{Casa de Gaspard Goldenteeth}
Ascold House	{Casa de Fadey}
Abby_House		{Casa de Abigail Shneur}
Knippel_House	{Casa de Charlie Knippel}
Fleetwood_House	{Casa de Richard Fleetwood}
Comendant_House	{Casa del comandante de San José}
Svensons_house	{Casa de Jan Svensson}
Gladis_house	{Casa de Gladys McArthur}
Gonsales_house	{Casa de Enrique Gonzales}
Loxly_house		{Oficina de Albert Locksley}

LostShipsCity	{Loco-Riferte}
LostShipsCity Town	{Loco-Riferte}
LSC South		{Sur de la isla de los barcos abandonados}
LSC North		{Norte de la isla de los barcos abandonados}
LSC Town		{Calles de Loco-Riferte}

Ava Cabin		{Galeón 'Eva'}
Caroline cabin	{Fragata 'Carolina'}
CeresSmithy cabin	{Filibote 'Ceres Smithy'}
EsmeraldaStoreBig cabin	{Galeón 'Esmeralda'}
FenixPlatform cabin	{Plataforma 'Phoenix'}
FernandaDiffIndoor cabin	{Filibote 'Fernanda'}
FleuronTavern cabin	{Carabela 'Fleron'}
FurieShipInside2 cabin	{Pinaza 'Fury'}
GloriaChurch cabin		{Galeón 'Gloria'}
PlutoStoreSmall cabin	{Filibote 'Pluto'}
ProtectorFisher cabin	{Corveta 'Protector'}
SanAugustineResidence cabin	{Buque de guerra 'San Augustine'}
SanGabrielMechanic cabin	{Barcaza 'San Gabriel'}
SantaFlorentinaShipInside4 cabin	{Bergante 'Santa Florentina'}
TartarusPrison cabin	{Acorazado 'Tartarus'}
VelascoShipInside1 cabin	{Galeón 'Velasco'}

Tenochtitlan	{Tayasal}
Temple_1		{Templo de Tohil}
Temple_2		{Templo de Kauil}
Temple_3		{Templo de Chak}
Temple_4		{Templo de Kinich Ahaw}
Temple_5		{Templo de Itzamna}
Temple_6		{Templo de Ek Chuah}
TempleTreasure	{Tesorería}
TempleGreatInside	{Gran templo}
TempleRoundInside	{Templo de Kukulcán}
TempleUnderwater	{Laberinto bajo el agua}

Maze			{Templo de los Chavins}
Alcove			{Santuario}
Merrimancave	{Guarida de Merryman}
River {Orilla del río}
Jungle Fort {Fuerte en la Jungla}
Basement {Base}
Ruins {Ruinas}
